Age,Gender,Monthly_Income,Occupation,City,Marital_Status,Owns_Vehicle,Vehicle_Type_Owned,Usage_Frequency,Primary_Use,Importance_Attributes,Preferred_Brands,Aware_Subscription,Willingness_Subscribe,Subscription_Budget,Motivating_Features,Preferred_Duration,Swap_Valuable,Subscription_Concerns,Hesitation_Reason,Vehicle_Change_Frequency,App_Comfort,Uses_Mobility_Apps,Expected_App_Features,NPS_Score
31,Male,49860,Retired,Sheilaborough,Married,No,Other,Few times a week,"Business, Travel","Tech Features, Comfort, Model Variety, Sustainability","Maruti, Toyota, Tesla",Somewhat,Likely,12698,"Roadside assistance, Monthly flexibility, Easy swaps",<3 months,Yes,Condition of vehicle,Interest specific nature state water because.,Rarely,Very Comfortable,Yes,Live Chat,5.0
18,Female,45081,Business Owner,Lake Natasha,Single,No,Two-Wheeler,Few times a week,"Family, Leisure","Comfort, Fuel Type, Safety, Sustainability",Tesla,No,Neutral,15169,"Easy swaps, Insurance included, No down payment",6-12 months,Not Sure,"Availability, Support",War eight value either set action south deal.,I don’t care,Not Comfortable,Yes,Offers/Discounts,5.0
21,Female,52327,Working Professional,West Bryan,Married,Yes,Luxury,Rarely,Family,Sustainability,"Hyundai, Tesla, Honda",Yes,Never,14835,Roadside assistance,>1 year,Not Sure,Cost,Like trade power organization.,Every 2-3 years,Not Comfortable,No,"Live Chat, Easy UI",5.0
29,Male,62376,Business Owner,Angelaberg,Married,Yes,SUV,Few times a week,"Leisure, Business","Sustainability, Safety, Model Variety, Tech Features",Toyota,Yes,Very Likely,3026,Monthly flexibility,3-6 months,Yes,Support,Mr opportunity really under deep produce.,Rarely,Somewhat,Yes,Live Chat,5.0
19,Male,36993,Freelancer,Howardmouth,Married,Yes,Hatchback,Few times a week,"Travel, Business, Family","Brand, Sustainability, Fuel Type, Tech Features",Tesla,Somewhat,Likely,10942,"Insurance included, Roadside assistance, Easy swaps",6-12 months,Yes,Condition of vehicle,Lot agency rule mother investment.,Every 2-3 years,Somewhat,No,Live Chat,5.0
48,Female,40128,Business Owner,Michaelberg,Single,No,Sedan,Daily,Business,"Fuel Type, Brand, Tech Features",Audi,Yes,Likely,17269,"No down payment, Roadside assistance",3-6 months,Not Sure,"Support, Condition of vehicle, Trust",Why maybe give type process attack fine performance simply.,Once a year,Very Comfortable,No,"Offers/Discounts, Model Filters",5.0
18,Male,45444,Student,Briannastad,Married,Yes,Luxury,Weekends only,"Leisure, Business","Model Variety, Comfort, Sustainability","Other, Honda, Tesla",No,Neutral,14757,"Insurance included, Easy swaps, Digital platform",>1 year,Yes,"Insurance, Condition of vehicle",Article game join almost truth major individual newspaper age.,Every 2-3 years,Not Comfortable,No,"Model Filters, Offers/Discounts, Live Chat",3.8
27,Female,29811,Other,Edgarville,Married,Yes,SUV,Daily,Family,Safety,"Toyota, Kia",No,Very Likely,17309,Easy swaps,>1 year,Yes,"Condition of vehicle, Cost",Cup we own score street radio family.,Once a year,Not Comfortable,Yes,Easy UI,4.7
33,Male,37711,Business Owner,Porterton,Other,Yes,Other,Weekends only,"Family, Other",Fuel Type,"BMW, Kia, Maruti",Yes,Very Likely,18919,"Digital platform, No down payment, Insurance included",>1 year,Not Sure,Insurance,Rise seven agent down without PM white.,Rarely,Neutral,No,"Ratings, Easy UI, Swap History",4.7
46,Female,42856,Other,Elainefurt,Single,Yes,EV,Rarely,"Other, Family, Commute","Safety, Comfort, Brand, Tech Features, Fuel Type",Toyota,Yes,Likely,10883,"Digital platform, No down payment",>1 year,Yes,"Insurance, Return process, Support",Event chance decade draw threat be occur.,Rarely,Not Comfortable,Yes,Easy UI,3.3
18,Male,63115,Freelancer,East Angelburgh,Married,No,Other,Rarely,"Leisure, Commute, Other","Safety, Comfort","Audi, Other",Somewhat,Never,12424,Monthly flexibility,6-12 months,Yes,"Trust, Insurance, Return process",This deal debate various hear me expect next need provide wrong.,I don’t care,Somewhat,Yes,"Live Chat, Ratings",3.9
43,Female,53938,Working Professional,South Theresa,Married,Yes,SUV,Rarely,"Business, Other, Leisure","Brand, Sustainability","Tesla, Hyundai, Audi",Somewhat,Unlikely,14294,"Monthly flexibility, Easy swaps",6-12 months,Not Sure,"Trust, Insurance, Support",Six among every table purpose image page much.,Every 2-3 years,Not Comfortable,Yes,"Ratings, Offers/Discounts",5.0
32,Male,52903,Other,New Debraville,Single,Yes,Other,Weekends only,"Business, Other, Travel","Model Variety, Sustainability, Comfort","Tesla, Other, Kia",Yes,Neutral,18867,"Monthly flexibility, Roadside assistance, No down payment",3-6 months,Yes,"Support, Condition of vehicle",Interest type wish where smile.,Rarely,Somewhat,Yes,Swap History,4.0
22,Female,62763,Retired,New Frankmouth,Single,Yes,Other,Weekends only,Commute,"Tech Features, Sustainability, Safety, Fuel Type, Comfort","Other, Toyota",Somewhat,Unlikely,13829,"Easy swaps, Insurance included, Roadside assistance",<3 months,Yes,Support,Reason use marriage young citizen less door involve live.,I don’t care,Neutral,Yes,Easy UI,4.7
36,Male,47939,Business Owner,Mariamouth,Single,Yes,Sedan,Weekends only,"Leisure, Business","Fuel Type, Model Variety, Brand","Hyundai, Honda, Audi",No,Very Likely,6094,Digital platform,>1 year,Yes,"Insurance, Trust, Condition of vehicle",Mrs truth character example school thought he hope structure raise.,Every 2-3 years,Very Comfortable,Yes,"Swap History, Model Filters",5.0
33,Female,55856,Freelancer,Marktown,Single,Yes,Two-Wheeler,Rarely,"Leisure, Family, Travel",Comfort,Hyundai,No,Unlikely,14009,"Easy swaps, Insurance included",3-6 months,Yes,"Trust, Availability",Play marriage major over likely.,Rarely,Somewhat,Yes,"Ratings, Swap History, Offers/Discounts",5.0
25,Female,48451,Freelancer,New Matthewstad,Single,No,Sedan,Weekends only,"Travel, Other","Safety, Comfort, Model Variety, Brand, Sustainability","Tata, Kia",No,Neutral,18666,"No down payment, Monthly flexibility, Roadside assistance",3-6 months,Yes,"Support, Availability",Reach high analysis a special hair new.,Once a year,Very Comfortable,Yes,Model Filters,5.0
32,Male,53980,Other,West Charles,Married,No,Hatchback,Few times a week,"Business, Travel",Comfort,Hyundai,Somewhat,Likely,21785,"Digital platform, Roadside assistance, Insurance included",3-6 months,Yes,Support,Couple fill result four soon production represent.,Rarely,Very Comfortable,Yes,"Ratings, Model Filters",3.3
28,Male,41258,Working Professional,Jennyshire,Married,Yes,Hatchback,Daily,"Family, Business",Fuel Type,Kia,No,Unlikely,16402,Easy swaps,>1 year,No,Condition of vehicle,Brother remember like behavior build change force three.,Once a year,Very Comfortable,Yes,Swap History,5.0
33,Male,13417,Student,Lauraview,Married,Yes,Sedan,Rarely,"Family, Other","Comfort, Model Variety, Brand, Safety, Sustainability",Tata,Yes,Unlikely,7570,"No down payment, Monthly flexibility",>1 year,Not Sure,Trust,Instead type garden arrive.,I don’t care,Very Comfortable,No,"Offers/Discounts, Easy UI, Swap History",4.6
38,Female,47985,Business Owner,Port Michael,Divorced,No,Luxury,Daily,Commute,"Tech Features, Fuel Type","Tata, Honda",Somewhat,Unlikely,12968,No down payment,3-6 months,Yes,"Cost, Trust, Support",Same yard each factor however west understand.,I don’t care,Somewhat,Yes,"Easy UI, Live Chat",5.0
47,Female,71341,Freelancer,Jamesburgh,Single,Yes,Luxury,Few times a week,"Leisure, Family, Commute",Comfort,"Maruti, Kia, BMW",No,Very Likely,17375,Monthly flexibility,>1 year,No,Insurance,Stand to become particularly imagine expect find find.,Every 2-3 years,Neutral,Yes,"Easy UI, Live Chat",4.8
19,Female,63893,Working Professional,North Margaret,Single,Yes,Other,Weekends only,"Travel, Leisure, Other",Fuel Type,"Tesla, Tata, Audi",Yes,Never,19331,"Insurance included, Easy swaps, No down payment",3-6 months,No,Condition of vehicle,Next mouth try develop myself expert us with sometimes.,Every 2-3 years,Not Comfortable,No,Live Chat,4.8
53,Male,64480,Retired,New Kennethton,Married,No,Other,Daily,Other,"Comfort, Sustainability, Fuel Type, Brand","BMW, Audi",No,Never,17535,"Monthly flexibility, Easy swaps, Digital platform",6-12 months,No,"Condition of vehicle, Availability, Cost",Medical read war too animal.,Every 2-3 years,Somewhat,Yes,Offers/Discounts,3.2
18,Male,68541,Freelancer,East William,Single,No,EV,Few times a week,"Family, Travel","Comfort, Model Variety, Fuel Type, Sustainability, Tech Features","Maruti, Kia, Honda",No,Likely,13741,"Insurance included, No down payment",>1 year,Yes,Availability,Ahead everyone particular education town garden dark national pass.,I don’t care,Neutral,Yes,"Easy UI, Model Filters",5.0
30,Female,51329,Working Professional,Darrylchester,Single,No,Hatchback,Few times a week,"Travel, Family, Commute","Comfort, Brand",Maruti,Somewhat,Very Likely,19292,"No down payment, Insurance included",6-12 months,Not Sure,"Condition of vehicle, Insurance",Work nor college across yeah.,Once a year,Not Comfortable,No,Live Chat,2.3
37,Female,52959,Student,Erictown,Single,No,EV,Daily,Family,"Comfort, Sustainability, Fuel Type",Tesla,No,Very Likely,11797,"Easy swaps, Roadside assistance, Insurance included",<3 months,Yes,Condition of vehicle,President news both practice radio collection.,Every 2-3 years,Very Comfortable,No,Easy UI,5.0
34,Prefer not to say,40735,Student,Martinshire,Single,No,Hatchback,Rarely,Family,"Sustainability, Fuel Type","Toyota, BMW, Other",Yes,Never,15923,"Monthly flexibility, Easy swaps",>1 year,Yes,"Return process, Condition of vehicle, Availability",Leg painting team apply investment across.,Every 2-3 years,Not Comfortable,Yes,"Ratings, Swap History",4.5
25,Male,45258,Freelancer,Michaelmouth,Married,Yes,Sedan,Daily,Family,"Brand, Model Variety, Sustainability, Safety, Fuel Type","Toyota, Audi, Tesla",No,Neutral,18748,"Digital platform, Insurance included, Easy swaps",<3 months,Yes,"Availability, Condition of vehicle",Change real evidence toward new little history feel involve.,I don’t care,Not Comfortable,Yes,Live Chat,5.0
29,Female,59236,Freelancer,New Scott,Single,Yes,Luxury,Rarely,Other,"Sustainability, Safety, Comfort","Kia, Tata",No,Likely,17883,Roadside assistance,3-6 months,No,"Condition of vehicle, Support",Everything better hot truth suffer.,Once a year,Neutral,No,"Swap History, Easy UI, Model Filters",4.8
27,Male,68058,Other,Lake Robert,Single,Yes,Other,Weekends only,"Leisure, Family, Commute","Model Variety, Safety, Brand, Comfort, Fuel Type","Tata, Kia",Yes,Likely,17995,Insurance included,>1 year,Yes,Insurance,Practice foot collection person guess.,Rarely,Not Comfortable,Yes,Offers/Discounts,4.0
26,Male,47908,Business Owner,Elizabethside,Single,Yes,Luxury,Rarely,Travel,"Safety, Tech Features, Comfort, Model Variety",Audi,No,Likely,17869,"Monthly flexibility, Easy swaps",>1 year,Yes,"Trust, Condition of vehicle",Paper who kitchen across summer stand.,Every 2-3 years,Very Comfortable,Yes,"Ratings, Model Filters, Live Chat",3.4
40,Female,43247,Working Professional,Younghaven,Married,Yes,Sedan,Weekends only,"Other, Leisure","Fuel Type, Brand, Comfort, Tech Features","Kia, Maruti",Somewhat,Neutral,9756,"Easy swaps, Roadside assistance",>1 year,No,Support,Beyond standard key like see leave Democrat know thing.,Rarely,Somewhat,Yes,"Easy UI, Model Filters",3.1
35,Female,50007,Freelancer,Anitaview,Single,Yes,EV,Daily,"Business, Commute, Travel","Safety, Sustainability, Tech Features, Model Variety, Brand",Toyota,Yes,Likely,15087,"Roadside assistance, Easy swaps, Monthly flexibility",<3 months,Not Sure,Trust,Listen oil TV view should fact organization marriage modern.,Rarely,Somewhat,Yes,"Swap History, Live Chat, Model Filters",4.9
25,Prefer not to say,59018,Business Owner,Kelseybury,Married,Yes,EV,Weekends only,"Family, Business, Travel","Model Variety, Sustainability, Tech Features, Safety","Audi, Tata",No,Never,10453,Digital platform,<3 months,No,"Insurance, Condition of vehicle, Support",Street PM property front around anything campaign write today.,Every 2-3 years,Neutral,No,"Offers/Discounts, Model Filters",4.9
40,Male,28342,Other,North Edgarshire,Single,Yes,SUV,Few times a week,"Family, Leisure","Brand, Comfort","Tata, Tesla, Kia",Yes,Neutral,13552,"Digital platform, No down payment, Monthly flexibility",3-6 months,Yes,"Return process, Availability, Support",Weight care southern life drug.,I don’t care,Very Comfortable,No,"Model Filters, Ratings, Easy UI",4.7
35,Male,15557,Business Owner,Schneiderfort,Single,Yes,Other,Weekends only,Family,Tech Features,Tata,Yes,Unlikely,9155,"Insurance included, No down payment",6-12 months,Yes,"Availability, Condition of vehicle, Insurance",Next view increase action animal know.,Every 2-3 years,Very Comfortable,No,"Easy UI, Live Chat, Offers/Discounts",3.9
40,Female,41741,Freelancer,West Danielle,Married,Yes,Other,Rarely,"Commute, Other","Model Variety, Tech Features, Sustainability, Fuel Type","Tata, Other, Honda",Yes,Likely,16724,"Digital platform, Insurance included",6-12 months,No,"Return process, Support",Glass will someone customer condition.,Once a year,Not Comfortable,Yes,"Swap History, Easy UI",4.5
38,Female,31689,Student,Kellyland,Single,Yes,Other,Rarely,"Business, Commute","Tech Features, Brand, Sustainability",Maruti,Yes,Very Likely,5174,"Digital platform, Easy swaps",<3 months,Yes,Availability,Environment production current rich back human all various.,Once a year,Neutral,Yes,"Offers/Discounts, Model Filters",3.5
23,Male,42377,Working Professional,Josehaven,Single,No,Hatchback,Rarely,"Other, Commute, Leisure","Safety, Comfort, Sustainability, Fuel Type","Other, Tata",Somewhat,Likely,18086,"Monthly flexibility, Roadside assistance",>1 year,No,"Insurance, Cost, Trust",Free chance fast whether trouble impact practice.,Every 2-3 years,Very Comfortable,No,"Live Chat, Model Filters, Easy UI",3.2
26,Male,47783,Working Professional,Brianhaven,Single,Yes,EV,Weekends only,Travel,"Safety, Comfort, Brand","Kia, Toyota",Yes,Likely,15076,Monthly flexibility,6-12 months,Yes,Insurance,Popular policy contain camera heavy.,Rarely,Very Comfortable,Yes,"Model Filters, Live Chat",3.7
39,Male,43201,Student,Robertstad,Divorced,Yes,Sedan,Rarely,"Commute, Leisure","Safety, Sustainability, Comfort, Brand, Model Variety",Honda,No,Likely,24510,Digital platform,6-12 months,Not Sure,"Support, Return process, Availability",Forward special offer economy wife.,Once a year,Very Comfortable,No,Live Chat,3.7
38,Female,71787,Freelancer,North Alexa,Single,No,EV,Rarely,Travel,"Model Variety, Safety","Maruti, Toyota, Tesla",Yes,Never,13976,Digital platform,<3 months,Yes,"Cost, Support, Trust",Stand form more deep.,Once a year,Somewhat,No,"Ratings, Live Chat",5.0
31,Male,54901,Working Professional,Port Keith,Married,Yes,Luxury,Few times a week,"Travel, Other","Safety, Brand, Tech Features, Sustainability, Model Variety",Toyota,Somewhat,Likely,13975,Digital platform,3-6 months,Yes,"Return process, Trust, Support",If mother although growth particularly recently color various matter effort.,Every 2-3 years,Somewhat,Yes,"Ratings, Easy UI",2.4
33,Male,54507,Freelancer,Quinnside,Single,Yes,Hatchback,Weekends only,"Leisure, Travel, Business","Fuel Type, Comfort, Sustainability, Tech Features, Safety","Tesla, Tata",No,Very Likely,18412,"No down payment, Easy swaps, Roadside assistance",<3 months,Not Sure,"Availability, Support",Will fast news TV quickly officer argue large.,Every 2-3 years,Somewhat,Yes,"Live Chat, Easy UI, Swap History",4.0
44,Male,59333,Other,New Samanthamouth,Single,Yes,Other,Few times a week,"Business, Family","Safety, Sustainability, Comfort, Brand","Kia, Hyundai, Maruti",No,Very Likely,14267,"Roadside assistance, Monthly flexibility, Easy swaps",<3 months,Yes,"Cost, Condition of vehicle, Availability",Force might program president practice create my analysis look pressure.,I don’t care,Not Comfortable,Yes,Swap History,4.8
26,Male,32917,Freelancer,East Carolynville,Single,Yes,Two-Wheeler,Rarely,"Business, Family, Commute","Fuel Type, Comfort","Audi, Tata",Yes,Likely,16374,Insurance included,>1 year,Yes,Return process,Me occur moment often outside power student watch.,Every 2-3 years,Not Comfortable,No,Model Filters,5.0
37,Male,65586,Business Owner,Lake Justin,Divorced,No,SUV,Rarely,"Other, Commute, Leisure","Safety, Sustainability","Toyota, Tata",No,Never,19972,"Monthly flexibility, Roadside assistance",<3 months,Not Sure,"Condition of vehicle, Insurance, Return process",But office remain prepare program.,Every 2-3 years,Not Comfortable,Yes,"Model Filters, Ratings",3.3
29,Female,48863,Student,South Timothyborough,Single,Yes,Hatchback,Rarely,"Leisure, Family, Commute","Brand, Comfort, Fuel Type, Model Variety",Tesla,Yes,Likely,13662,"Roadside assistance, Monthly flexibility, Digital platform",>1 year,Yes,Return process,Partner majority up always car despite talk cut office service.,Once a year,Very Comfortable,No,Swap History,2.7
29,Male,60057,Freelancer,New Brandi,Single,Yes,Luxury,Weekends only,Leisure,Tech Features,"Toyota, Kia, Audi",Somewhat,Likely,20976,"No down payment, Insurance included",3-6 months,Yes,"Insurance, Cost",Should give year close suffer.,Once a year,Somewhat,Yes,Ratings,4.9
42,Female,33922,Other,East Hunterstad,Single,Yes,Other,Daily,Travel,"Fuel Type, Sustainability, Brand, Tech Features","Other, Tata",No,Neutral,6604,"Monthly flexibility, Digital platform, Easy swaps",>1 year,Yes,"Availability, Trust",Building note source mind last red.,Once a year,Very Comfortable,Yes,"Offers/Discounts, Live Chat, Easy UI",4.2
40,Male,26693,Retired,Lake Laurieport,Single,Yes,Luxury,Rarely,Leisure,"Fuel Type, Sustainability, Comfort","Audi, Toyota, Hyundai",No,Likely,23017,"Insurance included, Roadside assistance, No down payment",3-6 months,Yes,"Insurance, Cost, Availability",Goal through Republican easy we very.,Rarely,Very Comfortable,Yes,"Easy UI, Swap History, Ratings",3.7
40,Female,62268,Student,Valeriehaven,Single,Yes,Luxury,Rarely,Business,Sustainability,"Audi, Maruti, Tata",No,Likely,6059,Monthly flexibility,3-6 months,Yes,"Trust, Condition of vehicle",Right because opportunity military none physical positive last add.,Once a year,Neutral,Yes,"Offers/Discounts, Model Filters, Swap History",4.5
45,Female,55646,Working Professional,Webbburgh,Married,Yes,Other,Rarely,"Other, Travel","Model Variety, Fuel Type","Tesla, Hyundai, Kia",Yes,Very Likely,21760,"No down payment, Monthly flexibility, Roadside assistance",3-6 months,No,"Support, Trust, Condition of vehicle",Prevent exist determine political animal director north grow.,Once a year,Very Comfortable,No,"Model Filters, Ratings",5.0
32,Female,36469,Business Owner,Brandonburgh,Single,Yes,Luxury,Rarely,"Family, Commute","Sustainability, Fuel Type, Tech Features, Comfort",BMW,No,Likely,5667,"Easy swaps, Insurance included, Digital platform",<3 months,No,"Cost, Support, Insurance",Discuss everything must campaign character.,Every 2-3 years,Not Comfortable,Yes,Swap History,4.9
38,Female,36955,Working Professional,South Matthew,Single,Yes,Sedan,Weekends only,Family,"Tech Features, Brand, Model Variety, Comfort, Sustainability","Honda, Audi, Toyota",No,Very Likely,24902,"Digital platform, Roadside assistance",>1 year,Yes,"Return process, Cost",Tell around range way speak civil pressure unit front.,I don’t care,Somewhat,Yes,"Ratings, Offers/Discounts, Live Chat",4.4
28,Male,66881,Other,West Michelle,Married,Yes,SUV,Daily,"Family, Business, Commute","Tech Features, Comfort, Safety, Fuel Type",Toyota,No,Very Likely,15804,"Easy swaps, Digital platform",6-12 months,Yes,Support,Fight fire four land billion left inside join.,Once a year,Somewhat,No,"Easy UI, Ratings",5.0
35,Male,32158,Other,East Christopherland,Single,Yes,Two-Wheeler,Daily,"Leisure, Family, Other",Safety,Other,No,Unlikely,10275,Digital platform,<3 months,Not Sure,Support,Trouble entire myself recently first.,I don’t care,Very Comfortable,Yes,Ratings,4.2
30,Female,74640,Working Professional,Scottville,Single,Yes,Luxury,Daily,"Commute, Travel","Brand, Fuel Type","Honda, Tesla, Other",Yes,Very Likely,24325,Digital platform,3-6 months,Not Sure,Return process,Message us top else point.,Once a year,Not Comfortable,Yes,Swap History,4.1
32,Prefer not to say,36490,Student,East Willie,Single,No,Luxury,Rarely,Other,"Comfort, Model Variety, Safety, Brand, Sustainability","Honda, Maruti",Yes,Unlikely,9555,"No down payment, Monthly flexibility, Digital platform",6-12 months,Yes,"Availability, Support",Maintain second character enter voice everything body about itself south.,Once a year,Not Comfortable,Yes,"Ratings, Live Chat, Offers/Discounts",4.9
37,Female,59575,Working Professional,Rodriguezport,Married,Yes,EV,Rarely,Family,"Sustainability, Model Variety",Tesla,Somewhat,Unlikely,13863,"Easy swaps, Roadside assistance, Insurance included",<3 months,Not Sure,"Insurance, Support, Condition of vehicle",Paper inside PM purpose give.,I don’t care,Not Comfortable,Yes,"Ratings, Swap History",2.5
23,Female,45070,Freelancer,East Michaelport,Single,Yes,SUV,Daily,Commute,Model Variety,"Hyundai, Tesla",No,Neutral,28023,"Easy swaps, No down payment, Insurance included",6-12 months,No,"Condition of vehicle, Return process",Certain customer public maintain until car make military image class.,Every 2-3 years,Somewhat,Yes,"Offers/Discounts, Easy UI, Live Chat",4.7
52,Female,59047,Working Professional,Angelamouth,Single,Yes,Hatchback,Daily,Leisure,Comfort,"Honda, Audi",No,Likely,16977,"Roadside assistance, Easy swaps",3-6 months,Yes,Trust,Start reach account service.,Once a year,Not Comfortable,No,Easy UI,3.6
21,Male,41838,Business Owner,Rogersland,Single,Yes,SUV,Rarely,"Travel, Other",Fuel Type,"Other, Tesla",Somewhat,Very Likely,4869,No down payment,6-12 months,Yes,"Cost, Support",Morning while card agency right draw dark far maintain lose.,I don’t care,Not Comfortable,Yes,"Live Chat, Offers/Discounts",2.4
19,Male,47558,Business Owner,Port Williamfort,Married,No,SUV,Rarely,"Business, Commute","Fuel Type, Sustainability",Toyota,Yes,Unlikely,13633,"Digital platform, Monthly flexibility, Roadside assistance",6-12 months,Yes,Support,Stage cold current would board plant station.,Once a year,Very Comfortable,Yes,"Model Filters, Swap History, Easy UI",4.5
43,Female,50613,Retired,Jenningsland,Single,Yes,Other,Few times a week,"Other, Family","Safety, Comfort, Brand, Sustainability","Tata, BMW",Somewhat,Neutral,13191,Digital platform,3-6 months,Not Sure,"Availability, Insurance",Field rise billion we front to subject.,Rarely,Neutral,Yes,"Easy UI, Offers/Discounts, Swap History",3.5
39,Female,34967,Business Owner,Kirkside,Married,No,Other,Few times a week,"Business, Family, Other","Fuel Type, Comfort","BMW, Toyota",Somewhat,Neutral,15942,"Roadside assistance, Easy swaps, No down payment",6-12 months,No,Cost,The city several it after new character employee approach strategy.,Rarely,Not Comfortable,Yes,"Model Filters, Swap History",2.1
38,Male,61112,Working Professional,Christineville,Married,Yes,Other,Few times a week,"Commute, Travel","Comfort, Model Variety, Sustainability, Fuel Type, Tech Features",Kia,Somewhat,Very Likely,14777,Easy swaps,<3 months,No,Insurance,Truth property impact scene seem issue commercial at rock teacher.,Rarely,Very Comfortable,Yes,"Easy UI, Ratings, Model Filters",3.0
38,Female,42301,Business Owner,Stephanieton,Married,No,Two-Wheeler,Daily,Business,"Sustainability, Fuel Type","Toyota, Kia",Somewhat,Never,17729,"Roadside assistance, Monthly flexibility",6-12 months,Yes,Cost,Teacher writer history board point.,Rarely,Very Comfortable,Yes,"Swap History, Easy UI, Model Filters",5.0
31,Male,46571,Student,Joshuaview,Single,Yes,SUV,Weekends only,"Family, Travel, Other",Fuel Type,"Tesla, Hyundai",Yes,Very Likely,7359,"Insurance included, Easy swaps, Roadside assistance",>1 year,No,"Return process, Support",Way huge test carry report.,Every 2-3 years,Not Comfortable,No,Ratings,3.3
23,Female,35084,Business Owner,Julieland,Single,No,Two-Wheeler,Rarely,Commute,Comfort,Audi,Yes,Likely,12260,"Digital platform, No down payment, Roadside assistance",<3 months,No,"Cost, Availability, Trust",Medical music no half interest agreement.,Rarely,Neutral,Yes,Model Filters,4.4
32,Male,11564,Freelancer,New Gregfort,Single,Yes,Luxury,Few times a week,Other,Model Variety,"BMW, Audi, Kia",No,Likely,16559,"Roadside assistance, Monthly flexibility, Digital platform",6-12 months,Not Sure,Return process,Always current structure staff heart machine letter night.,I don’t care,Somewhat,Yes,"Swap History, Easy UI, Model Filters",2.7
25,Male,47134,Student,Shermanborough,Single,Yes,Other,Weekends only,"Travel, Commute, Family","Sustainability, Model Variety, Tech Features, Safety, Fuel Type",BMW,Yes,Very Likely,11189,"No down payment, Digital platform",>1 year,Yes,Return process,Person spend ready staff either bag specific.,Once a year,Neutral,Yes,"Model Filters, Live Chat",5.0
41,Female,86189,Retired,Jeffersonbury,Single,Yes,Luxury,Rarely,"Commute, Leisure, Business","Fuel Type, Tech Features","BMW, Tata, Hyundai",Yes,Likely,20479,No down payment,>1 year,No,"Trust, Availability",That poor more himself prevent pull room throw who medical.,I don’t care,Not Comfortable,No,"Live Chat, Easy UI, Offers/Discounts",4.1
30,Male,61769,Freelancer,South Elizabeth,Married,Yes,Other,Weekends only,"Other, Business, Family","Safety, Brand, Tech Features, Comfort",Honda,No,Unlikely,11289,Roadside assistance,>1 year,Yes,Trust,Two fill animal weight window left down.,Rarely,Neutral,Yes,"Model Filters, Easy UI",3.2
23,Female,49711,Working Professional,South Adamfurt,Single,No,Sedan,Daily,Travel,"Tech Features, Model Variety","Audi, Tesla",Yes,Unlikely,15716,"Digital platform, Insurance included, Easy swaps",6-12 months,No,Support,Teach perhaps board run easy imagine speech minute.,Every 2-3 years,Very Comfortable,Yes,"Easy UI, Model Filters",5.0
28,Female,46056,Working Professional,Cookstad,Single,Yes,Two-Wheeler,Daily,"Other, Business","Sustainability, Brand, Model Variety, Fuel Type, Comfort","Hyundai, BMW",Somewhat,Unlikely,14475,Insurance included,3-6 months,No,"Cost, Return process, Condition of vehicle",Structure interest well above one pick impact.,Rarely,Very Comfortable,Yes,"Swap History, Model Filters, Ratings",5.0
36,Female,50336,Working Professional,Harrisberg,Married,Yes,Two-Wheeler,Daily,Business,"Tech Features, Sustainability, Fuel Type",Maruti,Somewhat,Likely,9926,"Insurance included, Roadside assistance, Monthly flexibility",>1 year,Yes,Cost,Imagine out hour office again western project yeah politics product.,Rarely,Neutral,Yes,Swap History,3.5
26,Male,58206,Freelancer,Clarkview,Married,Yes,Hatchback,Few times a week,"Business, Family","Comfort, Fuel Type, Sustainability, Tech Features","Kia, BMW",Somewhat,Neutral,15302,"Digital platform, No down payment, Easy swaps",3-6 months,No,"Support, Insurance, Condition of vehicle",Consider star a cold rest seem.,Every 2-3 years,Somewhat,Yes,"Easy UI, Model Filters",3.2
23,Male,32287,Freelancer,Lake Timothy,Single,Yes,EV,Rarely,"Other, Commute","Comfort, Fuel Type",Tesla,No,Very Likely,8440,"Roadside assistance, Digital platform",<3 months,Yes,Condition of vehicle,Real music teacher body about walk news.,Every 2-3 years,Neutral,No,Live Chat,5.0
34,Male,66714,Freelancer,Port William,Married,Yes,SUV,Daily,Family,"Sustainability, Safety, Comfort, Brand, Tech Features","Other, Tata",Somewhat,Likely,12781,"Insurance included, Easy swaps",3-6 months,Not Sure,"Support, Return process",Gas might people owner represent read.,Every 2-3 years,Not Comfortable,Yes,Live Chat,3.9
34,Prefer not to say,60730,Student,Davidshire,Single,Yes,Hatchback,Few times a week,"Other, Business","Tech Features, Fuel Type, Safety, Sustainability, Model Variety",Tata,Somewhat,Very Likely,15151,Monthly flexibility,3-6 months,Yes,"Trust, Availability, Return process",Project sit white arm factor either near car certain.,Every 2-3 years,Somewhat,Yes,"Swap History, Ratings, Offers/Discounts",3.7
26,Female,60772,Other,Caitlinport,Married,Yes,Two-Wheeler,Few times a week,"Other, Business",Comfort,"Kia, Tesla",No,Likely,7863,Digital platform,3-6 months,No,Availability,Into all lose line item since.,Every 2-3 years,Neutral,Yes,Offers/Discounts,1.4
27,Female,56577,Student,North Lisafurt,Married,No,Hatchback,Few times a week,"Commute, Business, Other",Fuel Type,"Maruti, Kia",Yes,Likely,18117,"Easy swaps, Roadside assistance, No down payment",3-6 months,Not Sure,"Cost, Return process",My statement without page very.,Every 2-3 years,Neutral,Yes,"Swap History, Ratings, Easy UI",4.0
